project,file,class,method,methodSignature,line,eligible,discardReasons,ccBefore,ccAfter,delta,outerCondition,innerCondition
fastjson,com/alibaba/fastjson/JSONObject.java,JSONObject,containsKey,boolean containsKey(Object),93,YES,,4,3,-1,!result,key instanceof Number || key instanceof Character || key instanceof Boolean || key instanceof UUID
fastjson,com/alibaba/fastjson/JSONObject.java,JSONObject,get,Object get(Object),112,YES,,4,3,-1,val == null,key instanceof Number || key instanceof Character || key instanceof Boolean || key instanceof UUID
fastjson,com/alibaba/fastjson/JSONPath.java,JSONPath,patchAdd,"void patchAdd(Object, Object, boolean)",329,YES,,19,16,-3,currentObject == null && i != segments.length - 1,segment instanceof PropertySegment
fastjson,com/alibaba/fastjson/JSONPath.java,JSONPath,remove,boolean remove(Object),516,YES,,63,58,-5,parentObject instanceof Collection,segments.length > 1
fastjson,com/alibaba/fastjson/JSONPath.java,PropertySegment,extract,"void extract(JSONPath, DefaultJSONParser, Context)",2461,YES,,101,97,-4,matchStat == JSONLexer.VALUE,context.eval
fastjson,com/alibaba/fastjson/JSONPath.java,JSONPath,eqNotNull,"boolean eqNotNull(Number, Number)",3811,YES,,17,16,-1,isIntB,a instanceof BigInteger
fastjson,com/alibaba/fastjson/parser/DefaultJSONParser.java,DefaultJSONParser,parseArray,Object[] parseArray(Type[]),861,YES,,76,71,-5,i == types.length - 1,type instanceof Class
fastjson,com/alibaba/fastjson/parser/JSONLexerBase.java,JSONLexerBase,scanSymbolUnQuoted,String scanSymbolUnQuoted(SymbolTable),847,YES,,13,11,-2,chLocal < identifierFlags.length,!identifierFlags[chLocal]
fastjson,com/alibaba/fastjson/parser/JSONLexerBase.java,JSONLexerBase,scanFieldInt,int scanFieldInt(char[]),1936,YES,,32,30,-2,"//
value < 0 || offset > 11 + 3 + fieldName.length","//
value != Integer.MIN_VALUE || //
offset != 17 || !negative"
fastjson,com/alibaba/fastjson/parser/ParserConfig.java,ParserConfig,checkAutoType,"Class<?> checkAutoType(String, Class<?>, int)",1545,YES,,114,113,-1,clazz != null,autoTypeSupport
fastjson,com/alibaba/fastjson/parser/deserializer/JavaBeanDeserializer.java,JavaBeanDeserializer,deserialze,"T deserialze(DefaultJSONParser, Type, Object, Object, int, int[])",480,YES,,582,579,-3,field.fieldClass == String.class,token == JSONToken.LITERAL_STRING
fastjson,com/alibaba/fastjson/serializer/FieldSerializer.java,FieldSerializer,getPropertyValue,Object getPropertyValue(Object),152,YES,,5,3,-2,format != null && propertyValue != null,fieldInfo.fieldClass == java.util.Date.class || fieldInfo.fieldClass == java.sql.Date.class
fastjson,com/alibaba/fastjson/serializer/JSONSerializer.java,JSONSerializer,getDateFormat,DateFormat getDateFormat(),84,YES,,3,2,-1,dateFormat == null,dateFormatPattern != null
fastjson,com/alibaba/fastjson/serializer/JSONSerializer.java,JSONSerializer,writeReference,void writeReference(Object),198,YES,,9,8,-1,parentContext != null,object == parentContext.object
fastjson,com/alibaba/fastjson/serializer/JavaBeanSerializer.java,JavaBeanSerializer,write,"void write(JSONSerializer, Object, Object, Type, int, boolean)",251,YES,,251,247,-4,skipTransient,fieldInfo.fieldTransient
fastjson,com/alibaba/fastjson/serializer/JavaBeanSerializer.java,JavaBeanSerializer,write,"void write(JSONSerializer, Object, Object, Type, int, boolean)",257,YES,,251,247,-4,ignoreNonFieldGetter,field == null
fastjson,com/alibaba/fastjson/serializer/SerializeConfig.java,SerializeConfig,addFilter,"void addFilter(Class<?>, SerializeFilter)",382,YES,,6,4,-2,this != SerializeConfig.globalInstance,filterable == MapSerializer.instance
fastjson,com/alibaba/fastjson/util/JavaBeanInfo.java,JavaBeanInfo,build,"JavaBeanInfo build(Class<?>, Type, PropertyNamingStrategy, boolean, boolean, boolean)",540,YES,,503,498,-5,field != null,fieldAnnotation == null
iotbroker,com/mobiussoftware/iotbroker/amqp/AmqpClient.java,AmqpClient,processSASLOutcome,"void processSASLOutcome(byte[], OutcomeCode)",696,YES,,3,2,-1,outcomeCode != null,outcomeCode == OutcomeCode.OK
jmetal,org/uma/jmetal/problem/multiobjective/lz09/LZ09.java,LZ09,objective,"void objective(List<Double>, List<Double>)",284,YES,,42,39,-3,nobj == 3,ltype == 31 || ltype == 32
knowage,it/eng/knowage/document/export/cockpit/converter/DataStoreConfigurationConverter.java,DataStoreConfigurationConverter,getDataset,IDataSet getDataset(),88,YES,,3,2,-1,jsonConfiguration != null,this.dataSet == null
knowage,it/eng/spagobi/api/BusinessModelOpenParameters.java,BusinessModelOpenParameters,getBusinessModelExecutionFilters,Response getBusinessModelExecutionFilters(HttpServletRequest),704,YES,,180,171,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/BusinessModelResource.java,BusinessModelResource,getDriversFromQbeDataSet,"Response getDriversFromQbeDataSet(String, Map<String, Object>, String)",757,YES,,205,196,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/DocumentExecutionParameters.java,DocumentExecutionParameters,transformRuntimeDrivers,"ArrayList<HashMap<String, Object>> transformRuntimeDrivers(List<BusinessModelDriverRuntime>, IParameterUseDAO, String, MetaModel, BusinessModelOpenParameters)",637,YES,,189,180,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/DocumentExecutionResource.java,DocumentExecutionResource,getDocumentExecutionFilters,Response getDocumentExecutionFilters(HttpServletRequest),754,YES,,241,231,-10,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/DocumentExecutionResource.java,DocumentExecutionResource,transformRuntimeDrivers,"ArrayList<HashMap<String, Object>> transformRuntimeDrivers(List<BusinessModelDriverRuntime>, IParameterUseDAO, String, MetaModel, BusinessModelOpenParameters)",1790,YES,,189,180,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/common/MetaUtils.java,MetaUtils,transformRuntimeDrivers,"ArrayList<HashMap<String, Object>> transformRuntimeDrivers(List<BusinessModelDriverRuntime>, IParameterUseDAO, String, MetaModel, BusinessModelOpenParameters)",315,YES,,189,180,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/v2/DataSetResource.java,DataSetResource,transformRuntimeDrivers,"ArrayList<HashMap<String, Object>> transformRuntimeDrivers(List<BusinessModelDriverRuntime>, IParameterUseDAO, String, MetaModel, BusinessModelOpenParameters)",1227,YES,,190,181,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/v2/DocumentExecutionResource.java,DocumentExecutionResource,getDocumentExecutionFilters,Response getDocumentExecutionFilters(HttpServletRequest),754,YES,,257,247,-10,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/v2/DocumentExecutionResource.java,DocumentExecutionResource,transformRuntimeDrivers,"ArrayList<HashMap<String, Object>> transformRuntimeDrivers(List<BusinessModelDriverRuntime>, IParameterUseDAO, String, MetaModel, BusinessModelOpenParameters)",1949,YES,,187,178,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/api/v3/DataSetResource.java,DataSetResource,getDriversFromQbeDataSet,"Response getDriversFromQbeDataSet(String, Map<String, Object>, String)",1179,YES,,205,196,-9,oVals != null,oVals instanceof List
knowage,it/eng/spagobi/commons/validation/SpagoURLValidator.java,SpagoURLValidator,isValidPath,boolean isValidPath(String),216,YES,,5,4,-1,dot2Count > 0,(slashCount - slash2Count - 1) <= dot2Count
knowage,it/eng/spagobi/tools/dataset/actions/AbstractDatasetActionsChecker.java,AbstractDatasetActionsChecker,canDelete,void canDelete(),258,YES,,16,14,-2,isUser || isTester || isModelAdministrator,!owned && !(isScopeEnterprise && inVisibleCategories) && !(isScopeTechnical) && !(isScopeUser && inVisibleCategories)
knowage,it/eng/spagobi/tools/dataset/validation/GeoSpatialDimensionDatasetValidator.java,GeoSpatialDimensionDatasetValidator,checkValue,"boolean checkValue(Set, Object)",270,YES,,20,17,-3,admissibleValue instanceof Number,findNumber
moea,org/moeaframework/util/cli/CommandLineUtility.java,CommandLineUtility,getConsoleWidth,int getConsoleWidth(),120,YES,,15,11,-4,width <= 0,SystemUtils.IS_OS_LINUX || SystemUtils.IS_OS_MAC
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDb,JsonObject getDb(String),92,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDb,JsonObject getDb(String),98,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDb,JsonObject getDb(String),100,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDb,JsonObject getDb(String),104,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDb,JsonObject getDb(String),114,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",127,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",134,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",136,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",138,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",146,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",153,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",155,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",157,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDBIds,"String[] getDBIds(String[], String[])",175,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatform,JsonObject getPlatform(String),184,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatform,JsonObject getPlatform(String),194,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatform,JsonObject getPlatform(String),196,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatform,JsonObject getPlatform(String),200,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatform,JsonObject getPlatform(String),210,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,isIndependentDataStorage,boolean isIndependentDataStorage(String),219,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,isIndependentDataStorage,boolean isIndependentDataStorage(String),221,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getUrl,String getUrl(String),230,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatformId,String getPlatformId(String),237,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPlatformType,String getPlatformType(String),245,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getUptreamInputAlignment,String[] getUptreamInputAlignment(String),255,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getUptreamOutputAlignment,String[] getUptreamOutputAlignment(String),267,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDownstreamInputAlignment,String[] getDownstreamInputAlignment(String),280,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getDownstreamOutputAlignment,String[] getDownstreamOutputAlignment(String),293,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getUser,String getUser(String),304,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getPassword,String getPassword(String),311,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getIdsUrl,String[] getIdsUrl(),318,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getIdsUrl,String[] getIdsUrl(),325,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getIdsUrl,String[] getIdsUrl(),327,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/DatabaseManager.java,DatabaseManager,getIdsUrl,String[] getIdsUrl(),334,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getData,"JsonArray getData(String, String, String, String, String)",84,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getData,"JsonArray getData(String, String, String, String, String)",86,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getData,"JsonArray getData(String, String, String, String, String)",90,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getWebserviceCall,"JsonArray getWebserviceCall(String, String, String, String, String)",126,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getWebserviceCall,"JsonArray getWebserviceCall(String, String, String, String, String)",127,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getWebserviceCall,"JsonArray getWebserviceCall(String, String, String, String, String)",129,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getWebserviceCall,"JsonArray getWebserviceCall(String, String, String, String, String)",149,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getWebserviceCall,"JsonArray getWebserviceCall(String, String, String, String, String)",157,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",193,NO,INNER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",194,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",205,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",207,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",219,NO,INNER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",220,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",224,NO,INNER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromPlatform,"JsonArray getFromPlatform(String, String, String, String, String)",225,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createUri,"URI createUri(String, String, String, String, String)",245,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createUri,"URI createUri(String, String, String, String, String)",251,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createUri,"URI createUri(String, String, String, String, String)",252,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createUri,"URI createUri(String, String, String, String, String)",253,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createUri,"URI createUri(String, String, String, String, String)",257,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,callWebService,"String callWebService(URI, String, String)",270,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,callWebService,"String callWebService(URI, String, String)",286,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromIds,"JsonArray getFromIds(String, String, String)",317,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromIds,"JsonArray getFromIds(String, String, String)",326,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getFromIds,"JsonArray getFromIds(String, String, String)",327,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsQuery,"String createIdsQuery(String, String, String, String)",352,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsQuery,"String createIdsQuery(String, String, String, String)",354,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsQuery,"String createIdsQuery(String, String, String, String)",355,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsQuery,"String createIdsQuery(String, String, String, String)",356,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsQuery,"String createIdsQuery(String, String, String, String)",357,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsQuery,"String createIdsQuery(String, String, String, String)",358,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsCall,"URI createIdsCall(String, String, String, String, String, String)",371,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsCall,"URI createIdsCall(String, String, String, String, String, String)",372,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsCall,"URI createIdsCall(String, String, String, String, String, String)",375,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,createIdsCall,"URI createIdsCall(String, String, String, String, String, String)",376,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsTables,"JsonArray getIdsTables(String, String)",398,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsTables,"JsonArray getIdsTables(String, String)",407,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsTables,"JsonArray getIdsTables(String, String)",408,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsTables,"JsonArray getIdsTables(String, String)",412,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsDbsAndTables,JsonObject getIdsDbsAndTables(),426,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsDbsAndTables,JsonObject getIdsDbsAndTables(),432,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsDbsAndTables,JsonObject getIdsDbsAndTables(),433,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/HistoricData.java,HistoricData,getIdsDbsAndTables,JsonObject getIdsDbsAndTables(),440,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,semanticTranslation,"String semanticTranslation(String, String, String)",108,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,semanticTranslation,"String semanticTranslation(String, String, String)",123,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,semanticTranslation,"String semanticTranslation(String, String, String)",125,NO,OUTER_BLOCK_MULTIPLE_STATEMENTS,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getIpsmUrl,String getIpsmUrl(),141,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getIpsmUrl,String getIpsmUrl(),148,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getIpsmUrl,String getIpsmUrl(),150,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getIpsmUrl,String getIpsmUrl(),154,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,syntacticTranslation,"String syntacticTranslation(String, String)",176,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,syntacticTranslation,"String syntacticTranslation(String, String)",186,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,syntacticTranslation,"String syntacticTranslation(String, String)",187,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getSytacticTranslatorUrl,String getSytacticTranslatorUrl(String),201,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getSytacticTranslatorUrl,String getSytacticTranslatorUrl(String),208,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/historicdata/TranslationManager.java,TranslationManager,getSytacticTranslatorUrl,String getSytacticTranslatorUrl(String),210,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/query/DataLakeClient.java,DataLakeClient,translate,JsonArray translate(Query),58,NO,SINGLE_STATEMENT_NOT_IF,,,,,
aioteslake,eu/activage/datalake/query/DataLakeClient.java,DataLakeClient,translate,JsonArray translate(Query),63,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/query/DataLakeClient.java,DataLakeClient,translate,JsonArray translate(Query),72,NO,OUTER_HAS_ELSE,,,,,
aioteslake,eu/activage/datalake/query/DataLakeClient.java,DataLakeClient,execute,String execute(Query),91,NO,SINGLE_STATEMENT_NOT_IF,,,,,
