caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
REAL_COMMONS_COLLECTIONS_GET,commons-collections-4.4,Método con if-null sobre mapa + if-containsKey — patrón defensivo en MapUtils,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"Object getObject(java.util.Map<String, Object>, String)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_COLLECTIONS_INNER_ELSE,commons-collections-4.4,Método con if anidado cuyo if interno tiene rama else — no elegible por P4,false,"Descartado por: INNER_HAS_ELSE, OUTER_HAS_ELSE",INNER_HAS_ELSE;OUTER_HAS_ELSE,0,0,0,4,4,0,"boolean validate(Object[], int)",Sin oportunidades detectadas
REAL_COMMONS_COLLECTIONS_ISEMPTY,commons-collections-4.4,Método con if-null + if-length sobre array — patrón elegible clásico de doble guarda,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,boolean hasElements(Object[]),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
COMMONS_COLLECTIONS_PERMUTATION_ITERATOR_NEXT,commons-collections,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,15,12,-3,List<E> next(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_IO_ARRAY_SUBRANGE,commons-io-2.11.0,Método con doble guarda null + field access (array.length) — elegible clásico,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,3,2,-1,"byte[] subarray(byte[], int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_ASSIGNMENT_COND,commons-lang-3.12.0,Método con asignación en la condición del if interno — no elegible por P5 (ASSIGNMENT_IN_CONDITION),true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,String process(char[]),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_CHOMP,commons-lang-3.12.0,Método con patrón if-null + if-length + if-char — representativo de validación defensiva en StringUtils,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,6,4,-2,String chomp(String),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_CONTAINS_NONE,commons-lang-3.12.0,Método con if-null + if-null + for + for + if — patrón de búsqueda con doble iteración,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,15,11,-4,"boolean containsNone(String, char[])",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_DECREMENT_COND,commons-lang-3.12.0,Método con operador de decremento en condición interna — no elegible por P5 (INCREMENT_OR_DECREMENT_IN_CONDITION),true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"boolean checkBound(int, int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_INNER_METHOD_CALL,commons-lang-3.12.0,Método con guarda null externa y llamada a método en condición interna — no elegible por P5 (METHOD_CALL_IN_CONDITION en condición interna),true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,boolean hasContent(String),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_IS_NUMERIC,commons-lang-3.12.0,Método con if-null + if-longitud + for + if-dígito — patrón de recorrido con guarda,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,10,7,-3,boolean isNumeric(String),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_LANG_MID,commons-lang-3.12.0,Método con if-null + if-límite + if-pos + if-length — patrón elegible parcial de substring seguro,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,2,2,2,10,4,-6,"String mid(String, int, int)",Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
REAL_COMMONS_LANG_TRIPLE_GUARD,commons-lang-3.12.0,Método con triple if anidado de guardas null — elegible completo con delta -4,true,,SINGLE_STATEMENT_NOT_IF,2,2,2,6,2,-4,"String concat(String, String, String)",Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
REAL_COMMONS_LANG_VALID_INDEX,commons-lang-3.12.0,Método con doble guarda null + índice positivo (aritmética pura) — elegible,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"char charAt(String, int, char)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_MATH_CONVERGED,commons-math-3.6.1,Método con doble comprobación de convergencia — patrón elegible de rango numérico,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"boolean hasConverged(double, double, double, double)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_MATH_IN_INTERVAL,commons-math-3.6.1,Método con doble comprobación de intervalo aritmético puro — elegible,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"boolean inInterval(double, double, double)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
REAL_COMMONS_MATH_NO_NESTING,commons-math-3.6.1,"Método con dos if secuenciales sin anidamiento — no elegible por SINGLE_STATEMENT_NOT_IF (cuerpo de cada if es return, no otro if)",false,Descartado por: SINGLE_STATEMENT_NOT_IF,SINGLE_STATEMENT_NOT_IF,0,0,0,2,2,0,int signum(double),Sin oportunidades detectadas
REAL_COMMONS_MATH_VALIDATE_RANGE,commons-math-3.6.1,Método con if-else en outer — no elegible por P1 (rama else),false,"Descartado por: OUTER_HAS_ELSE, SINGLE_STATEMENT_NOT_IF",OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,0,0,0,4,4,0,"String validateRange(double, double, double)",Sin oportunidades detectadas
CYBERCAPTOR_VERTEX_GET_RELATED_MACHINE,cybercaptor,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,52,38,-14,InformationSystemHost getRelatedMachine(InformationSystem),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_DEFAULT_J_S_O_N_PARSER_PARSE_ARRAY,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,false,No se detectaron oportunidades de refactorización,,0,0,0,0,0,0,List<T> parseArray(Class<T>),Sin oportunidades detectadas
FASTJSON_FIELD_SERIALIZER_GET_PROPERTY_VALUE,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,5,3,-2,Object getPropertyValue(Object),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_LEXER_BASE_SCAN_FIELD_INT,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE,1,1,1,32,30,-2,int scanFieldInt(char[]),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_LEXER_BASE_SCAN_SYMBOL_UN_QUOTED,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,13,11,-2,String scanSymbolUnQuoted(SymbolTable),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_OBJECT_CONTAINS_KEY,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,4,3,-1,boolean containsKey(Object),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_OBJECT_GET,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,4,3,-1,Object get(Object),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_PATH_EQ_NOT_NULL,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,17,16,-1,"boolean eqNotNull(Number, Number)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_PATH_PATCH_ADD,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,1,1,1,19,16,-3,"void patchAdd(Object, Object, boolean)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_PATH_REMOVE,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,2,2,2,63,53,-10,boolean remove(Object),Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
FASTJSON_J_S_O_N_SERIALIZER_GET_DATE_FORMAT,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,DateFormat getDateFormat(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_J_S_O_N_SERIALIZER_WRITE_REFERENCE,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE,1,1,1,9,8,-1,void writeReference(Object),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
FASTJSON_JAVA_BEAN_DESERIALIZER_DESERIALZE,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,false,No se detectaron oportunidades de refactorización,,0,0,0,0,0,0,"T deserialze(DefaultJSONParser, Type, Object)",Sin oportunidades detectadas
FASTJSON_JAVA_BEAN_INFO_BUILD,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,false,No se detectaron oportunidades de refactorización,,0,0,0,0,0,0,"JavaBeanInfo build(Class<?>, Type, PropertyNamingStrategy)",Sin oportunidades detectadas
FASTJSON_JAVA_BEAN_SERIALIZER_WRITE,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,false,No se detectaron oportunidades de refactorización,,0,0,0,0,0,0,"void write(JSONSerializer, Object, Object, Type, int)",Sin oportunidades detectadas
FASTJSON_PARSER_CONFIG_CHECK_AUTO_TYPE,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,false,Descartado por: SINGLE_STATEMENT_NOT_IF,SINGLE_STATEMENT_NOT_IF,0,0,0,1,1,0,Class<?> checkAutoType(Class),Sin oportunidades detectadas
FASTJSON_PROPERTY_SEGMENT_EXTRACT,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS, OUTER_HAS_ELSE",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,0,0,0,23,23,0,Object extract(DefaultJSONParser),Sin oportunidades detectadas
FASTJSON_SERIALIZE_CONFIG_ADD_FILTER,fastjson,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,6,4,-2,"void addFilter(Class<?>, SerializeFilter)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
IOTBROKER_AMQP_CLIENT_PROCESS_S_A_S_L_OUTCOME,iotbroker,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,3,2,-1,"void processSASLOutcome(byte[], OutcomeCode)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_JSON_PARSER_BASE_PARSE_INT_VALUE,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,4,3,-1,int _parseIntValue(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_NON_BLOCKING_UTF8_JSON_PARSER_BASE_FINISH_C_COMMENT,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,1,1,1,18,16,-2,"JsonToken _finishCComment(int, boolean)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_NON_BLOCKING_UTF8_JSON_PARSER_BASE_START_NAME_AFTER_COMMA,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,23,21,-2,JsonToken _startNameAfterComma(int),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_PARSER_BASE_DECODE_BASE64_ESCAPE,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF,2,2,2,7,5,-2,"int _decodeBase64Escape(Base64Variant, int, int)",Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
JACKSON_CORE_READER_BASED_JSON_PARSER_NEXT_NAME,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,1,1,1,31,29,-2,boolean nextName(SerializableString),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_READER_BASED_JSON_PARSER_NEXT_TOKEN,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,1,1,1,22,20,-2,JsonToken nextToken(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_READER_BASED_JSON_PARSER_SKIP_COLON_FAST,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,2,2,2,36,28,-8,int _skipColonFast(int),Pases hasta punto fijo: 2. Transformaciones aplicadas: 2. [Nota: se requirieron múltiples pases por anidamiento profundo]
JACKSON_CORE_TEXT_BUFFER_RELEASE_BUFFERS,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,4,3,-1,void releaseBuffers(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_U_T_F8_JSON_GENERATOR_OUTPUT_RAW_MULTI_BYTE_CHAR,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,1,1,1,8,6,-2,"int _outputRawMultiByteChar(int, char[], int, int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_U_T_F8_STREAM_JSON_PARSER_NEXT_NAME,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE,1,1,1,20,18,-2,String nextName(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_U_T_F8_STREAM_JSON_PARSER_NEXT_TOKEN,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,1,1,1,20,18,-2,JsonToken nextToken(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
JACKSON_CORE_U_T_F8_STREAM_JSON_PARSER_RELEASE_BUFFERS,jackson-core,[PENDIENTE DE REVISIÓN] Detectado automáticamente por CorpusScanRunner. Verificar semántica antes de incluir en corpus oficial.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,6,4,-2,void _releaseBuffers(),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
